symbol,date,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferrredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
YUMC,2021-12-16,USD,0001673358,2021-12-16,2021-12-16,,FY,1209000000.0,3139000000.0,4348000000.0,105000000.0,380000000.0,207000000.0,5040000000.0,4027000000.0,841000000.0,228000000.0,1069000000.0,0.0,73000000.0,1095000000.0,6264000000.0,0.0,11304000000.0,0.0,0.0,74000000.0,0.0,2116000000.0,2116000000.0,1941000000.0,0.0,232000000.0,187000000.0,2360000000.0,0.0,4476000000.0,4000000.0,2415000000.0,205000000.0,4192000000.0,6816000000.0,11292000000.0,0.0,0.0,-1209000000.0,,
LEN,2021-11-30,USD,0000920760,2021-11-30,,,Q4,2735213000.0,0.0,0.0,490278000.0,1161023000.0,0.0,1651301000.0,0.0,3442359000.0,0.0,3442359000.0,0.0,0.0,0.0,0.0,31556477000.0,33207778000.0,1321247000.0,4652338000.0,0.0,0.0,0.0,5973585000.0,0.0,0.0,0.0,6237911000.0,6237911000.0,0.0,12211496000.0,33994000.0,14685329000.0,-1341000.0,6278300000.0,20996282000.0,33207778000.0,0.0,4652338000.0,1917125000.0,,
AMAT,2021-10-31,USD,0000006951,2021-10-31,2021-10-31,2021,FY,4995000000.0,464000000.0,5459000000.0,4953000000.0,4309000000.0,1386000000.0,16107000000.0,1934000000.0,3479000000.0,104000000.0,3583000000.0,2055000000.0,2146000000.0,0.0,9718000000.0,0.0,25825000000.0,0.0,0.0,1090000000.0,0.0,6344000000.0,6344000000.0,5452000000.0,0.0,0.0,1782000000.0,7234000000.0,0.0,13578000000.0,0.0,0.0,0.0,12247000000.0,12247000000.0,25825000000.0,2519000000.0,5452000000.0,457000000.0,,
AP2.DE,2021-10-31,USD,,2021-10-31,2021-10-31,2021,FY,4995000000.0,464000000.0,5459000000.0,4953000000.0,4309000000.0,1386000000.0,16107000000.0,1934000000.0,3479000000.0,104000000.0,3583000000.0,2055000000.0,2146000000.0,0.0,9718000000.0,0.0,25825000000.0,0.0,0.0,0.0,2076000000.0,4268000000.0,6344000000.0,5452000000.0,0.0,0.0,1782000000.0,7234000000.0,0.0,13578000000.0,0.0,0.0,0.0,0.0,12247000000.0,25825000000.0,2519000000.0,5452000000.0,457000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0
BNS.TO,2021-10-31,CAD,,2021-10-31,2021-10-31,2021,FY,87078000000.0,33730000000.0,120808000000.0,9075000000.0,0.0,0.0,0.0,5621000000.0,8848000000.0,7756000000.0,16604000000.0,216002000000.0,0.0,0.0,0.0,1184844000000.0,1184844000000.0,8920000000.0,83976000000.0,1344000000.0,0.0,0.0,0.0,161682000000.0,0.0,1149000000.0,0.0,0.0,1111952000000.0,1111952000000.0,18507000000.0,51354000000.0,-5111000000.0,0.0,70802000000.0,1182754000000.0,249732000000.0,245658000000.0,158580000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=The Bank of Nova Scotia&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=The Bank of Nova Scotia&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
AVGOP,2021-10-31,USD,0001730168,2021-10-31,2021-10-31,,Q4,12163000000.0,0.0,0.0,2071000000.0,1297000000.0,13218000000.0,16586000000.0,2348000000.0,43450000000.0,11374000000.0,54824000000.0,0.0,0.0,1812000000.0,58984000000.0,0.0,75570000000.0,1086000000.0,0.0,0.0,0.0,5195000000.0,6281000000.0,39440000000.0,0.0,0.0,4860000000.0,44300000000.0,0.0,50581000000.0,0.0,748000000.0,-116000000.0,24330000000.0,24962000000.0,75543000000.0,0.0,39440000000.0,27277000000.0,,
TD.TO,2021-10-31,CAD,,2021-10-31,2021-10-31,2021,FY,165893000000.0,43605000000.0,209498000000.0,45559000000.0,0.0,0.0,0.0,9181000000.0,16232000000.0,2123000000.0,18355000000.0,504317000000.0,0.0,0.0,0.0,1728672000000.0,1728672000000.0,37206000000.0,0.0,82000000.0,0.0,0.0,0.0,45470000000.0,0.0,244000000.0,0.0,0.0,1628854000000.0,1628854000000.0,23066000000.0,63944000000.0,7097000000.0,11000000.0,99818000000.0,1728672000000.0,547922000000.0,45470000000.0,-120423000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=The Toronto-Dominion Bank&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=The Toronto-Dominion Bank&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
SYP.DE,2021-10-31,USD,,2021-10-31,2021-10-31,2021,FY,1432840000.0,147949000.0,1580789000.0,600912000.0,229023000.0,397617000.0,2808341000.0,965649000.0,3575785000.0,279132000.0,3854917000.0,0.0,612655000.0,510698000.0,5943919000.0,0.0,8752260000.0,694748000.0,154670000.0,46443000.0,1517623000.0,46443000.0,2413484000.0,512097000.0,136303000.0,0.0,391433000.0,1039833000.0,0.0,3453317000.0,1531000.0,4549713000.0,-49604000.0,793497000.0,5295137000.0,8748454000.0,0.0,666767000.0,-766073000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0
NA.TO,2021-10-31,CAD,,2021-10-31,2021-10-31,2021,FY,33879000000.0,2930000000.0,36809000000.0,3357000000.0,0.0,0.0,0.0,1216000000.0,1504000000.0,1510000000.0,3014000000.0,106529000000.0,0.0,0.0,0.0,355795000000.0,355795000000.0,3756000000.0,18215000000.0,478000000.0,0.0,0.0,0.0,50592000000.0,0.0,10000000.0,0.0,0.0,336939000000.0,336939000000.0,3160000000.0,13028000000.0,-32000000.0,47000000.0,18853000000.0,355792000000.0,109459000000.0,68807000000.0,34928000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=National Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=National Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
ABM,2021-10-31,USD,0000771497,2021-10-31,2021-10-31,2021,Q4,62000000.0,0.0,0.0,1137000000.0,0.0,264000000.0,1401000000.0,237000000.0,2228000000.0,424000000.0,2652000000.0,0.0,0.0,146000000.0,3035000000.0,0.0,4436000000.0,289000000.0,62000000.0,124000000.0,0.0,934000000.0,1285000000.0,968000000.0,0.0,22000000.0,552000000.0,1542000000.0,0.0,2827000000.0,0.0,0.0,0.0,1609000000.0,1609000000.0,4436000000.0,0.0,1030000000.0,968000000.0,,
